timestamp,yearInSchool,major,major2,major3,division,campus,onCampus,frequencyIndividualStudy,frequencyGroupStudy,frequencyCourseReserves,frequencyBorrowingBooks,frequencyGetHelp,frequencyExhibit,frequencyPrinting,frequencyComputers,frequencyIT,frequencyWriting,needsQuietStudy,needsCollabStudy,needsStudyRooms,needsTextbooks,needsSummit,needsIll,needsPrinters,needsComputers,needsScanners,needsTechBorrowing,commentsResources,preferredStudyAreas,usefulPrimo,usefulDatabases,usefulGoogle,usefulGoogleScholar,researchToolsOpenEnded,resourcesLacking,preferredBookFormat,researchToolsComments,usefulResearchHelpDesk,usefulChat,usefulConsultation,usefulLibrarianClass,usefulLibGuide,usefulVideoTutorial,usefulLibraryWebsite,frequencyLibrarianClass,researchFrustrations,agreeWelcomeInLibrary,agreeComfortableAskingQuestions,whatDoYouValue
1/30/24 10:52,Second-year student,MUS,NA,NA,Art,CAS,Yes,Weekly,Once a semester,Monthly,Monthly,Once a semester,Once a semester,Weekly,Monthly,Monthly,Once a semester,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,NA,"In the silent section, it helps me focus",Very useful,Very useful,Somewhat useful,Somewhat useful,Asking professors for sources they might use,NA,It depends,NA,Very useful,Somewhat useful,Have not used,Not at all useful,Somewhat useful,Have not used,Very useful,Not often enough,NA,Strongly agree,Strongly agree,NA
1/30/24 11:08,Junior,ENG,RHMS,NA,Humanities,CAS,Yes,Weekly,Monthly,Never,Once a semester,Never,Never,Weekly,Never,Never,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,NA,Meets my needs,Meets my needs,NA,Third level above the computer lab because there are always open desks,Very useful,Very useful,I haven't used this,Somewhat useful,NA,NA,It depends,NA,Have not used,Have not used,Have not used,Very useful,Somewhat useful,Have not used,Somewhat useful,Often enough,NA,Somewhat agree,Somewhat agree,NA
1/30/24 11:18,Senior,RHMS,NA,NA,Social Sciences,CAS,No,Daily,Once a semester,Never,Once a semester,Never,Once a semester,Weekly,Never,Monthly,Never,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Meets my needs,It would be helpful for more of the study spots upstairs to have outlets for charging a laptop,Single desks upstairs. I like the quiet and privacy,Very useful,Very useful,Not useful at all,Somewhat useful,NA,NA,Ebooks,NA,Have not used,Have not used,Have not used,Somewhat useful,Very useful,Have not used,Have not used,Often enough,How long it takes to dig through everything,Strongly agree,Strongly agree,I like all the places to chill and study
1/30/24 11:34,Second-year student,SOAN,NA,NA,Social Sciences,CAS,Yes,Daily,Weekly,Monthly,Monthly,Monthly,Once a semester,Weekly,Never,Once a semester,Once a semester,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,I don't have a need for this,NA,"The quiet sections, because they have a beautiful view, big tables, and are easy to focus in",Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,Printed books,NA,Very useful,Have not used,Have not used,Somewhat useful,Very useful,Have not used,Have not used,Often enough,NA,Strongly agree,Strongly agree,I value that it is both a social and academic space. i value that you don’t have to buy anything to spend time here. i value that there is plenty of different kinds of spaces to spend time in and that it is open so late
1/30/24 11:35,Second-year student,ECON,NA,NA,Social Sciences,CAS,No,Weekly,Weekly,Weekly,Monthly,Once a semester,Once a semester,Weekly,Weekly,Never,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,They're all very awesome.,I like the ABCD section downstairs. Its close to circ incase I need anything and it feels like a very underappreciated part of the library!,Very useful,Very useful,Somewhat useful,Somewhat useful,"I rely on books from the stacks, librarians, as well as my professors.",So far I have not had any issues accessing recourses I need or would like to look at.,Printed books,They're all very awesome.,Very useful,Have not used,Very useful,Have not used,Very useful,Have not used,Have not used,No librarians have ever met with any of my classes,Pay walls!,Strongly agree,Strongly agree,"I value the collaborative spaces in the library. It's really fun getting to sit on ""work"" on assignments with my peers, especially when it is really busy. Definitely don't get a lot done, but I have made some of my best memories here."
1/30/24 11:35,Junior,TH,Art History,English,Art,CAS,Yes,Weekly,Monthly,Weekly,Weekly,Weekly,Monthly,Weekly,Monthly,Once a semester,Once a semester,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,NA,Silent study to really focus on my work!,Very useful,Very useful,Somewhat useful,I haven't used this,Citation guides,NA,Printed books,NA,Very useful,Have not used,Very useful,Very useful,Very useful,Have not used,Very useful,Often enough,NA,Strongly agree,Strongly agree,NA
1/30/24 12:57,Junior,CHEM,Physics,NA,Natural Sciences,CAS,Yes,Daily,Weekly,Daily,Monthly,Monthly,Weekly,Weekly,Never,Once a semester,Never,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I'm not familiar with this,I'm not familiar with this,Meets my needs,I don't have a need for this,I'm not familiar with this,I don't have a need for this,Resources and options are widely available for those that look and ask. No qualms.,"Various, but I have a preference for areas with windows and quiet spaces.",Very useful,Very useful,Very useful,Very useful,"Wolfram Alpha, other scientific journals",I can't think of anything currently.,It depends,"For the context of classes, professors generally make sure the resources work for their assigned projects, so there is rarely and issue in trying to find what you need.",Have not used,Have not used,Have not used,Have not used,Very useful,Have not used,Have not used,No librarians have ever met with any of my classes,Its a lot of work.,Strongly agree,Somewhat agree,Decorations maybe? Some of the walls feel bare and the open spaces have few hanging objects. I dont know?
1/30/24 14:10,Second-year student,CHEM,Mathematics,NA,Natural Sciences,CAS,Yes,Daily,Weekly,Monthly,Once a semester,Monthly,Once a semester,Daily,Once a semester,Once a semester,Monthly,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,NA,Quiet sections: helps me think better. Collaborative speaking section to do group work,I haven't used this,Very useful,Somewhat useful,Very useful,I haven’t done a lot of research for my major,They work well for me,Printed books,NA,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Often enough,Navigating up to date scientific research,Strongly agree,Strongly agree,I value most the community. If I could change one thing it would be to have more lamps so that later at night the overhead lights could be dimmed. Florescent lighting can give me a headache
1/30/24 16:45,Second-year student,HIST,Classics,NA,Humanities,CAS,Yes,Daily,Daily,Weekly,Weekly,Monthly,Never,Weekly,Weekly,Never,Monthly,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,Love Dummit and Interlibrary loan! Probably my favorite part,"I tend to study in the atrium because you dont have to walk so much and if you need a computer, you can easily get to it.",Very useful,Very useful,I haven't used this,I haven't used this,My professors,Nope!,Printed books,"Sometimes it's hard to figure out how to use Primo, but it works.",Very useful,Have not used,Have not used,Somewhat useful,Somewhat useful,I'm not familiar with this,Somewhat useful,Often enough,"When you are researching something and the deadline is coming close and you find the perfect book, but it turns out to be from Summit, so you don't think you'll get it time.",Strongly agree,Strongly agree,I love how much is available in the library and the multitude of spaces available. I think invidual sound proof room would be useful in case you need to cry about your final paper (or just work on it silently).
1/30/24 18:46,Senior,ENVS,ESS,NA,Interdisciplinary,CAS,No,Weekly,Weekly,Never,Never,Never,Never,Monthly,Once a semester,Once a semester,Never,Meets my needs,Meets my needs,Meets my needs,I don't have a need for this,I'm not familiar with this,I don't have a need for this,Meets my needs,Meets my needs,I don't have a need for this,I don't have a need for this,"I wish there was more space in group study, and more silence in the silent section","For independent study I prefer the silent section, I mostly use group study for projects or eating lunch with friends",Very useful,Very useful,Somewhat useful,Very useful,mostly primo and google scholar,NA,It depends,NA,Have not used,Have not used,Have not used,Somewhat useful,Somewhat useful,Have not used,Have not used,Often enough,paywalls,Strongly agree,Somewhat agree,"It's totally welcoming! There are just a few resources I've never used before--I never feel uncomfortable, just unfamiliar"
